cases;LC;MC;MS;PI;GP;LE;LP;ED;PV
AT;0,05;0,05;1,00;1,00;0,32;0,70;0,96;0,02;1,00
BE;0,89;0,51;0,06;0,02;0,00;0,99;0,98;0,91;0,20
CZ;0,05;0,22;0,48;0,69;0,27;0,96;0,45;1,00;0,80
DE;0,23;0,96;0,10;0,01;0,09;0,03;0,13;1,00;0,80
EE;0,05;0,02;0,95;0,08;0,01;0,38;0,30;0,66;0,80
ES;0,95;0,86;0,01;0,01;0,02;0,98;0,70;1,00;1,00
FI;0,93;0,42;0,08;1,00;0,00;0,99;0,99;0,71;0,80
FR;0,74;0,99;0,07;0,56;0,07;0,91;0,95;0,91;0,00
GB;0,05;0,98;0,58;0,07;0,00;0,72;0,28;1,00;0,00
GR;0,87;0,71;0,03;0,01;0,98;0,99;0,98;0,98;0,00
HU;0,05;0,05;0,88;1,00;0,65;0,04;0,76;1,00;0,80
IE;0,77;0,02;1,00;1,00;0,00;0,88;0,95;0,88;0,80
IT;0,98;0,94;0,04;0,02;0,74;1,00;0,03;1,00;0,40
LT;0,05;0,03;0,46;0,00;0,14;0,04;0,17;1,00;1,00
LU;0,06;0,02;0,08;0,00;0,00;1,00;0,99;1,00;0,80
LV;0,05;0,02;0,32;0,00;0,07;0,39;0,55;0,03;1,00
NL;0,05;0,65;0,10;0,07;0,00;0,02;0,13;0,12;0,80
PL;0,91;0,73;0,31;1,00;0,56;0,58;0,54;0,99;0,20
PT;0,76;0,51;0,06;0,83;0,00;0,96;0,89;1,00;0,20
SE;0,08;0,10;0,69;0,92;0,01;1,00;0,79;0,01;0,80
SI;0,05;0,04;0,48;0,10;0,37;0,75;0,82;1,00;0,20
SK;0,05;0,02;1,00;1,00;0,57;0,96;0,80;1,00;0,80
