case,aknowledge,sknowledge,ecdiversity,meltingpot,selfexpress,reginnovation
Brussels,1,0,1,0,0,1
Antwerpen,1,0,1,1,1,1
LimgburgB,1,0,1,1,1,1
OostVlaanderen,1,0,1,1,1,1
VlaamsBrabant,1,0,1,1,1,1
WestVlaanderen,1,0,1,0,0,1
BrabanWallone,1,0,1,0,1,1
Hainaut,1,1,1,0,0,1
Liege,1,1,1,0,0,0
LuxembourgB,1,1,1,0,0,0
Namur,0,1,1,0,0,0
Hovedstaden,1,1,1,1,1,1
Sjaelland,1,0,1,0,1,1
Syddanmark,1,0,1,1,1,0
Midtjylland,1,1,1,1,1,0
Nordjylland,1,0,1,0,0,0
Stuttgart,1,1,0,1,1,1
Karlsruhe,1,1,0,1,1,1
Freiburg,1,1,0,1,1,1
Tuebingen,1,1,0,1,1,1
Oberbayern,1,1,1,1,0,1
Niederbayern,1,1,0,1,1,1
Oberpfalz,1,1,0,0,0,1
Oberfranken,1,1,0,0,0,1
Mittelfranken,1,1,0,1,0,1
Unterfranken,1,1,0,1,1,1
Schwaben,1,1,0,1,0,1
Berlin,1,1,1,1,1,1
Bremen,1,0,0,1,1,1
Hamburg,1,1,0,1,1,1
Darmstadt,1,1,1,1,1,1
Giessen,1,1,1,1,1,0
Kassel,1,1,0,1,1,1
MecklenburgVorpommern,0,0,1,0,1,1
Braunschweig,1,1,0,1,0,1
Hannover,1,1,1,1,0,1
Lueneburg,1,1,1,0,1,1
WeserEms,1,1,0,1,1,0
Duesseldorf,1,1,0,1,1,1
Koeln,1,1,1,1,1,1
Muenster,1,1,1,1,1,1
Detmold,1,1,0,1,0,1
Arnsberg,1,1,0,1,1,1
Koblenz,1,1,1,1,1,1
RheinhessenPfalz,1,1,1,1,1,1
Saarland,1,1,1,1,1,1
Chemnitz,1,0,0,0,0,1
Dresden,1,0,1,0,1,1
Leipzig,1,0,1,0,1,1
SachsenAnhalt,0,0,1,0,0,0
SchleswigHolstein,1,1,1,0,0,1
Thueringen,1,0,1,0,1,1
Groningen,1,0,1,0,1,1
Friesland,1,0,1,0,0,1
Drenthe,1,0,1,0,1,1
Overijssel,1,0,0,0,1,1
Gelderland,1,0,0,0,1,1
Flevoland,1,0,1,0,1,1
Utrecht,1,1,1,0,1,1
NoordHolland,1,1,1,1,1,1
ZuidHolland,1,1,0,1,1,1
Zeeland,1,0,1,1,1,1
NoordBrabant,1,1,1,0,1,1
Limburg,1,1,1,1,1,1
Stockholm,1,1,1,1,1,1
oestraMellansverige,1,1,0,1,0,1
Smalandmedoearna,1,1,1,1,1,0
Sydsverige,1,1,1,1,1,0
Vaestsverige,1,0,1,1,1,1
NorraMellansverige,1,0,1,1,1,0
MellerstaNorrland,1,1,1,0,1,0
oevreNorrland,1,1,1,1,1,0
TeesValleyandDurham,0,0,1,0,0,1
NorthumberlandandTyneandWear,0,0,1,0,0,0
Cumbria,0,0,0,0,0,1
Cheshire,1,0,1,0,1,1
GreaterManchester,0,0,1,1,0,1
Lancashire,0,0,1,0,0,1
Merseyside,0,0,1,0,0,1
EastYorkshireandNorthernLincolnshire,0,0,1,0,0,1
NorthYorkshire,1,0,1,0,1,1
SouthYorkshire,0,0,1,1,0,1
WestYorkshire,0,0,1,1,0,1
DerbyshireandNottinghamshire,0,0,1,1,0,1
LeicestershireRutlandandNorthamptonshire,0,0,1,1,0,1
Lincolnshire,0,0,1,1,0,1
HerefordshireWorcestershireandWarwickshire,1,0,1,1,0,1
ShropshireandStaffordshire,0,0,1,0,0,1
WestMidlands,0,0,1,1,0,1
EastAnglia,1,1,1,1,0,1
BedfordshireandHertfordshire,1,1,1,1,1,1
Essex,1,1,1,0,0,1
InnerLondon,1,0,1,1,0,1
OuterLondon,0,0,1,1,0,1
BerkshireBuckinghamshireandOxfordshire,1,1,1,1,0,1
SurreyEastandWestSussex,1,1,1,1,1,1
HampshireandIsleofWight,1,1,1,0,1,1
Kent,0,1,1,1,0,1
GloucestershireWiltshireandBristol/Batharea,1,0,1,1,0,1
DorsetandSomerset,1,0,1,1,1,1
CornwallandIslesofScilly,0,0,1,0,0,1
Devon,0,0,1,0,0,1
WestWalesandTheValleys,0,0,1,0,0,1
EastWales,1,0,0,0,0,1
EasternScotland,1,0,1,1,0,0
SouthWesternScotland,0,0,1,0,0,0
HighlandsandIslands,0,0,1,0,0,0
NorthernIreland,0,0,1,1,0,0
