case,aknowledge,sknowledge,ecdiversity,meltingpot,selfexpress,reginnovation
Brussels,0.6000000000000001,0.0,0.8,0.4,0.4,1
Antwerpen,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,0.6000000000000001,1
LimgburgB,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,0.6000000000000001,1
OostVlaanderen,0.6000000000000001,0.2,0.8,0.6000000000000001,0.6000000000000001,1
VlaamsBrabant,0.8,0.2,0.8,0.6000000000000001,0.6000000000000001,1
WestVlaanderen,0.6000000000000001,0.2,0.6000000000000001,0.2,0.4,1
BrabanWallone,0.8,0.0,1.0,0.4,0.6000000000000001,1
Hainaut,0.6000000000000001,0.8,1.0,0.4,0.2,1
Liege,0.6000000000000001,0.8,0.8,0.4,0.4,0
LuxembourgB,0.6000000000000001,0.8,0.8,0.4,0.4,0
Namur,0.4,0.8,1.0,0.4,0.4,0
Hovedstaden,0.8,0.6000000000000001,1.0,0.6000000000000001,0.6000000000000001,1
Sjaelland,0.6000000000000001,0.4,0.8,0.4,0.6000000000000001,1
Syddanmark,0.6000000000000001,0.4,0.8,0.6000000000000001,0.6000000000000001,0
Midtjylland,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.6000000000000001,0
Nordjylland,0.6000000000000001,0.4,0.8,0.2,0.4,0
Stuttgart,0.8,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,1
Karlsruhe,0.8,0.6000000000000001,0.2,0.6000000000000001,0.8,1
Freiburg,0.8,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,1
Tuebingen,0.8,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,1
Oberbayern,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,1
Niederbayern,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,1
Oberpfalz,0.6000000000000001,0.6000000000000001,0.2,0.2,0.2,1
Oberfranken,0.6000000000000001,0.6000000000000001,0.2,0.2,0.4,1
Mittelfranken,0.8,0.6000000000000001,0.2,0.6000000000000001,0.4,1
Unterfranken,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,1
Schwaben,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.4,1
Berlin,0.6000000000000001,0.6000000000000001,0.8,0.8,0.6000000000000001,1
Bremen,0.6000000000000001,0.4,0.4,0.8,0.6000000000000001,1
Hamburg,0.6000000000000001,0.6000000000000001,0.4,0.8,0.8,1
Darmstadt,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1
Giessen,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0
Kassel,0.6000000000000001,0.6000000000000001,0.4,0.6000000000000001,0.8,1
MecklenburgVorpommern,0.4,0.4,0.6000000000000001,0.0,0.6000000000000001,1
Braunschweig,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.4,1
Hannover,0.8,0.6000000000000001,0.8,0.6000000000000001,0.4,1
Lueneburg,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,1
WeserEms,0.6000000000000001,0.6000000000000001,0.4,0.6000000000000001,0.6000000000000001,0
Duesseldorf,0.8,0.6000000000000001,0.4,0.6000000000000001,0.6000000000000001,1
Koeln,0.8,0.6000000000000001,0.8,0.6000000000000001,0.6000000000000001,1
Muenster,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1
Detmold,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.4,1
Arnsberg,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,1
Koblenz,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.8,1
RheinhessenPfalz,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1
Saarland,0.6000000000000001,0.8,0.6000000000000001,0.6000000000000001,0.8,1
Chemnitz,0.6000000000000001,0.4,0.2,0.0,0.4,1
Dresden,0.6000000000000001,0.4,0.6000000000000001,0.0,0.6000000000000001,1
Leipzig,0.6000000000000001,0.4,0.8,0.2,0.6000000000000001,1
SachsenAnhalt,0.2,0.4,0.6000000000000001,0.0,0.2,0
SchleswigHolstein,0.6000000000000001,0.6000000000000001,0.8,0.4,0.4,1
Thueringen,0.6000000000000001,0.4,0.6000000000000001,0.0,0.6000000000000001,1
Groningen,0.6000000000000001,0.4,1.0,0.2,0.6000000000000001,1
Friesland,0.6000000000000001,0.2,1.0,0.0,0.4,1
Drenthe,0.6000000000000001,0.2,1.0,0.0,0.6000000000000001,1
Overijssel,0.6000000000000001,0.2,0.0,0.2,0.6000000000000001,1
Gelderland,0.6000000000000001,0.2,0.0,0.2,0.6000000000000001,1
Flevoland,0.6000000000000001,0.2,0.8,0.2,0.6000000000000001,1
Utrecht,0.6000000000000001,0.6000000000000001,1.0,0.2,0.6000000000000001,1
NoordHolland,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.6000000000000001,1
ZuidHolland,0.6000000000000001,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001,1
Zeeland,0.6000000000000001,0.2,0.8,0.6000000000000001,0.6000000000000001,1
NoordBrabant,0.6000000000000001,0.6000000000000001,0.8,0.2,0.6000000000000001,1
Limburg,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.6000000000000001,1
Stockholm,0.8,0.6000000000000001,0.8,0.6000000000000001,0.6000000000000001,1
oestraMellansverige,0.8,0.8,0.0,0.6000000000000001,0.4,1
